            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 25 March 2020,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated Resident Population, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2018-19,,,,,,
,,,,,,,,,,2018,2019,,2018-2019,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2019,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041318,Springvale South,13372,13408,,36,0.3,,85,-354,305,,4.6,2940.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041459,Noble Park - East,13501,13620,,119,0.9,,130,-453,442,,3.8,3615.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041460,Noble Park - West,19992,20178,,186,0.9,,101,-424,509,,4.8,4208.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051319,Ashwood - Chadstone,20204,20606,,402,2.0,,92,-140,450,,6.7,3071.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051320,Clayton,26785,27555,,770,2.9,,-10,-1340,2120,,9.4,2927.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051321,Glen Waverley - East,22404,22472,,68,0.3,,22,-529,575,,9.2,2452.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051322,Glen Waverley - West,20687,20964,,277,1.3,,7,-432,702,,7.7,2731.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051323,Mount Waverley - North,16334,16452,,118,0.7,,53,-327,392,,6.5,2537.3,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051324,Mount Waverley - South,20009,20239,,230,1.1,,40,-247,437,,8.7,2326.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051325,Mulgrave,20900,21035,,135,0.6,,54,-281,362,,10.7,1962.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051326,Oakleigh - Huntingdale,23589,24068,,479,2.0,,134,-314,659,,10.2,2366.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21205,Monash,212051327,Wheelers Hill,21014,21038,,24,0.1,,-78,-188,290,,10.4,2015.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011328,Ardeer - Albion,8458,8530,,72,0.9,,85,-240,227,,4.6,1859.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011329,Cairnlea,10569,10643,,74,0.7,,77,-98,95,,4.4,2415.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011330,Deer Park - Derrimut,28711,28920,,209,0.7,,352,-571,428,,21.3,1355.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011331,Delahey,8831,8816,,-15,-0.2,,64,-164,85,,3.5,2514.9,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011332,Keilor Downs,13910,13834,,-76,-0.5,,68,-249,105,,7.7,1806.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011333,Kings Park (Vic.),14645,14691,,46,0.3,,143,-275,178,,4.4,3314.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011334,St Albans - North,21686,21795,,109,0.5,,219,-584,474,,6.5,3341.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011335,St Albans - South,18487,18554,,67,0.4,,84,-419,402,,6.3,2961.7,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011336,Sunshine,10539,10641,,102,1.0,,77,-286,311,,4.7,2248.7,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011337,Sunshine North,12487,12533,,46,0.4,,46,-188,188,,8.0,1562.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011338,Sunshine West,20123,20267,,144,0.7,,117,-251,278,,13.0,1562.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011339,Sydenham,12768,12799,,31,0.2,,52,-275,254,,3.9,3242.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21301,Brimbank,213011340,Taylors Lakes,18401,18323,,-78,-0.4,,91,-276,107,,18.5,992.4,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021341,Altona,13713,14002,,289,2.1,,103,55,131,,17.7,791.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021342,Altona Meadows,20409,20454,,45,0.2,,118,-296,223,,10.5,1940.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021343,Altona North,15196,15425,,229,1.5,,83,12,134,,16.2,953.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021344,Newport,19180,19563,,383,2.0,,206,-13,190,,8.8,2212.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021345,Seabrook,5517,5542,,25,0.5,,62,-104,67,,1.6,3421.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21302,Hobsons Bay,213021346,Williamstown,16932,17270,,338,2.0,,48,103,187,,7.3,2350.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031347,Braybrook,20138,20514,,376,1.9,,183,-320,513,,7.5,2741.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031348,Footscray,18631,19148,,517,2.8,,72,-198,643,,5.0,3855.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031349,Maribyrnong,13785,14115,,330,2.4,,118,-128,340,,5.5,2569.4,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031350,Seddon - Kingsville,10013,10121,,108,1.1,,116,-136,128,,1.7,6023.3,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031351,West Footscray - Tottenham,12613,12929,,316,2.5,,148,-140,308,,6.0,2161.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21303,Maribyrnong,213031352,Yarraville,16233,16621,,388,2.4,,186,36,166,,5.6,2957.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041353,Bacchus Marsh,22222,22964,,742,3.3,,173,506,63,,196.3,117.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041355,Hillside,24151,25220,,1069,4.4,,366,527,176,,66.5,379.0,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041356,Melton,20189,20596,,407,2.0,,183,79,145,,130.7,157.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041357,Melton South,28613,30689,,2076,7.3,,439,1414,223,,111.0,276.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041358,Melton West,19964,20892,,928,4.6,,307,525,96,,24.2,863.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041359,Rockbank - Mount Cottrell,6455,8815,,2360,36.6,,129,2219,12,,125.8,70.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041360,Taylors Hill,20918,21219,,301,1.4,,218,-139,222,,6.0,3555.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041461,Burnside,5296,5396,,100,1.9,,-2,37,65,,2.6,2114.4,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041462,Burnside Heights,6688,6785,,97,1.5,,75,-59,81,,2.0,3400.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21304,Melton - Bacchus Marsh,213041463,Caroline Springs,21730,21849,,119,0.5,,200,-393,312,,7.0,3142.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051361,Hoppers Crossing - North,20294,20279,,-15,-0.1,,176,-421,230,,10.9,1858.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051362,Hoppers Crossing - South,20609,20664,,55,0.3,,176,-482,361,,7.0,2947.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051363,Laverton,10953,11577,,624,5.7,,208,63,353,,22.2,520.4,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051365,Tarneit,43410,46707,,3297,7.6,,960,1420,917,,62.1,751.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051366,Truganina,30256,33144,,2888,9.5,,748,1377,763,,27.2,1220.1,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051368,Werribee - South,13115,14162,,1047,8.0,,40,843,164,,114.0,124.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051369,Wyndham Vale,27220,29215,,1995,7.3,,467,1181,347,,128.2,227.8,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051464,Point Cook - East,16030,17886,,1856,11.6,,328,1225,303,,19.0,939.6,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051465,Point Cook - North,25333,25541,,208,0.8,,320,-596,484,,8.5,3008.2,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051466,Point Cook - South,18380,19473,,1093,5.9,,315,311,467,,9.4,2066.7,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051467,Werribee - East,20986,21064,,78,0.4,,133,-408,353,,7.8,2715.5,
2,Victoria,2GMEL,Greater Melbourne,213,Melbourne - West,21305,Wyndham,213051468,Werribee - West,14315,16270,,1955,13.7,,222,1614,119,,127.7,127.4,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011370,Carrum Downs,22082,22264,,182,0.8,,176,-121,127,,20.3,1096.3,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011371,Frankston,23965,24104,,139,0.6,,65,-117,191,,11.6,2073.6,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011372,Frankston North,19966,19940,,-26,-0.1,,42,-169,101,,13.2,1506.2,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011373,Frankston South,19217,19305,,88,0.5,,3,-30,115,,14.6,1325.9,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011374,Langwarrin,25155,25293,,138,0.5,,178,-105,65,,37.6,672.3,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011375,Seaford (Vic.),17377,17490,,113,0.7,,124,-102,91,,12.4,1406.8,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21401,Frankston,214011376,Skye - Sandhurst,14085,14247,,162,1.2,,158,-89,93,,19.8,719.0,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021377,Dromana,12325,12566,,241,2.0,,-11,197,55,,45.1,278.9,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021378,Flinders,5653,5646,,-7,-0.1,,-16,-23,32,,287.4,19.6,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021379,Hastings - Somers,23344,23654,,310,1.3,,118,127,65,,108.9,217.2,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021380,Mornington,25914,26211,,297,1.1,,-63,238,122,,21.1,1242.7,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021381,Mount Eliza,19024,19140,,116,0.6,,3,-30,143,,23.2,824.7,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021382,Mount Martha,19773,20022,,249,1.3,,46,112,91,,30.2,662.8,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021383,Point Nepean,18433,18709,,276,1.5,,57,152,67,,67.2,278.5,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021384,Rosebud - McCrae,22087,22286,,199,0.9,,-126,252,73,,23.8,936.6,
2,Victoria,2GMEL,Greater Melbourne,214,Mornington Peninsula,21402,Mornington Peninsula,214021385,Somerville,19270,19402,,132,0.7,,108,-25,49,,117.4,165.3,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011386,Ararat,8413,8448,,35,0.4,,-3,-8,46,,161.2,52.4,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011387,Ararat Region,3222,3245,,23,0.7,,3,4,16,,4023.2,0.8,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011388,Horsham,16513,16589,,76,0.5,,73,-52,55,,83.1,199.7,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011389,Horsham Region,3417,3394,,-23,-0.7,,3,-28,2,,4251.5,0.8,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011390,Nhill Region,6796,6722,,-74,-1.1,,-42,-48,16,,11042.8,0.6,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011391,St Arnaud,3288,3284,,-4,-0.1,,-7,-7,10,,3008.6,1.1,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011392,Stawell,8128,8109,,-19,-0.2,,-5,-46,32,,2743.4,3.0,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011393,West Wimmera,2716,2713,,-3,-0.1,,-4,-1,2,,5685.9,0.5,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21501,Grampians,215011394,Yarriambiack,6610,6580,,-30,-0.5,,-52,8,14,,7139.6,0.9,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021395,Irymple,7089,7193,,104,1.5,,49,35,20,,88.3,81.5,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021396,Merbein,4885,4877,,-8,-0.2,,-8,-12,12,,101.8,47.9,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021398,Mildura Region,3755,3775,,20,0.5,,6,-28,42,,21569.5,0.2,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021399,Red Cliffs,6007,5990,,-17,-0.3,,9,-46,20,,246.7,24.3,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021469,Mildura - North,18660,18709,,49,0.3,,102,-310,257,,25.1,744.9,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21502,Mildura,215021470,Mildura - South,15120,15233,,113,0.7,,76,-72,109,,51.0,298.7,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031400,Buloke,6186,6127,,-59,-1.0,,-31,-44,16,,8068.7,0.8,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031401,Gannawarra,6653,6596,,-57,-0.9,,-20,-39,2,,3568.2,1.8,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031402,Kerang,3885,3868,,-17,-0.4,,-16,-3,2,,146.6,26.4,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031403,Robinvale,3374,3328,,-46,-1.4,,31,-158,81,,181.7,18.3,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031404,Swan Hill,11103,11089,,-14,-0.1,,47,-105,44,,126.6,87.6,
2,Victoria,2RVIC,Rest of Vic.,215,North West,21503,Murray River - Swan Hill,215031405,Swan Hill Region,6288,6237,,-51,-0.8,,15,-90,24,,5759.2,1.1,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21601,Campaspe,216011406,Echuca,14933,14978,,45,0.3,,-15,24,36,,183.8,81.5,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21601,Campaspe,216011407,Kyabram,11028,11065,,37,0.3,,26,-19,30,,738.9,15.0,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21601,Campaspe,216011408,Lockington - Gunbower,3874,3856,,-18,-0.5,,1,-23,4,,1646.4,2.3,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21601,Campaspe,216011409,Rochester,3906,3888,,-18,-0.5,,-21,1,2,,351.6,11.1,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21601,Campaspe,216011410,Rushworth,4054,4043,,-11,-0.3,,-2,-13,4,,1633.9,2.5,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21602,Moira,216021411,Cobram,6422,6395,,-27,-0.4,,1,-77,49,,131.5,48.6,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21602,Moira,216021412,Moira,2665,2676,,11,0.4,,17,-19,13,,1498.8,1.8,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21602,Moira,216021413,Numurkah,12420,12400,,-20,-0.2,,36,-88,32,,2321.0,5.3,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21602,Moira,216021414,Yarrawonga,8290,8454,,164,2.0,,-48,194,18,,95.0,89.0,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21603,Shepparton,216031415,Mooroopna,8087,8144,,57,0.7,,29,-15,43,,40.0,203.7,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21603,Shepparton,216031416,Shepparton - North,19382,19540,,158,0.8,,60,-108,206,,65.7,297.6,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21603,Shepparton,216031417,Shepparton - South,24164,24420,,256,1.1,,174,-140,222,,143.3,170.4,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21603,Shepparton,216031418,Shepparton Region - East,3881,3856,,-25,-0.6,,14,-53,14,,1055.6,3.7,
2,Victoria,2RVIC,Rest of Vic.,216,Shepparton,21603,Shepparton,216031419,Shepparton Region - West,10388,10429,,41,0.4,,37,-45,49,,1028.7,10.1,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21701,Glenelg - Southern Grampians,217011420,Glenelg (Vic.),8732,8715,,-17,-0.2,,-23,-8,14,,6121.2,1.4,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21701,Glenelg - Southern Grampians,217011421,Hamilton (Vic.),10119,10125,,6,0.1,,-2,-30,38,,198.3,51.0,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21701,Glenelg - Southern Grampians,217011422,Portland,10899,10928,,29,0.3,,24,-14,19,,64.0,170.8,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21701,Glenelg - Southern Grampians,217011423,Southern Grampians,6093,6048,,-45,-0.7,,9,-77,23,,6562.6,0.9,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031471,Camperdown,3537,3506,,-31,-0.9,,-32,-5,6,,98.1,35.7,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031472,Colac,12546,12574,,28,0.2,,12,-23,39,,54.7,229.7,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031473,Colac Region,5363,5364,,1,0.0,,27,-38,12,,1934.3,2.8,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031474,Corangamite - North,5354,5340,,-14,-0.3,,-13,-13,12,,2538.3,2.1,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031475,Corangamite - South,7177,7103,,-74,-1.0,,9,-107,24,,1805.2,3.9,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21703,Colac - Corangamite,217031476,Otway,3579,3608,,29,0.8,,-1,-4,34,,1505.9,2.4,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21704,Warrnambool,217041477,Moyne - East,6669,6685,,16,0.2,,25,-29,20,,3275.8,2.0,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21704,Warrnambool,217041478,Moyne - West,9776,9841,,65,0.7,,24,-4,45,,2037.8,4.8,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21704,Warrnambool,217041479,Warrnambool - North,21976,22229,,253,1.2,,93,1,159,,62.4,356.1,
2,Victoria,2RVIC,Rest of Vic.,217,Warrnambool and South West,21704,Warrnambool,217041480,Warrnambool - South,13241,13294,,53,0.4,,-14,-80,147,,120.2,110.6,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TOTAL VICTORIA,6462019,6596039,,134020,2.1,,37343,12198,84479,,227495.6,29.0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: Regional Population Growth, Australia, 2018-19 (cat. no. 3218.0)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia 2020,,,,,,,,,,,,,,,,,,,,,,
