            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"3218.0  Regional Population Growth, Australia",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 25 March 2020,,,,,,,,,,,,,,,,,,,,,,
"Table 2. Estimated Resident Population, Statistical Areas Level 2, Victoria",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2018-19,,,,,,
,,,,,,,,,,2018,2019,,2018-2019,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2019,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031302,Cranbourne North,23885,24904,,1019,4.3,,390,359,270,,10.2,2432.2,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031303,Cranbourne South,10255,11972,,1717,16.7,,104,1577,36,,81.7,146.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031304,Cranbourne West,18604,19755,,1151,6.2,,388,560,203,,12.9,1531.6,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031305,Hampton Park - Lynbrook,27470,27656,,186,0.7,,329,-593,450,,13.3,2072.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031306,Lynbrook - Lyndhurst,17132,17486,,354,2.1,,213,-133,274,,7.4,2376.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031308,Pearcedale - Tooradin,8155,8176,,21,0.3,,53,-42,10,,98.5,83.0,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031457,Narre Warren South (East),13871,13864,,-7,-0.1,,92,-190,91,,6.2,2228.8,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21203,Casey - South,212031458,Narre Warren South (West),17825,17860,,35,0.2,,200,-378,213,,6.8,2635.4,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041309,Clarinda - Oakleigh South,12361,12340,,-21,-0.2,,34,-219,164,,6.3,1951.7,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041310,Clayton South,13827,14288,,461,3.3,,140,-294,615,,7.9,1799.9,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041311,Dandenong,33934,34295,,361,1.1,,295,-926,992,,61.8,554.7,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041312,Dandenong North,23915,23960,,45,0.2,,178,-487,354,,9.5,2533.0,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041313,Dingley Village,10687,10753,,66,0.6,,37,-41,70,,7.2,1484.5,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041314,Keysborough,29856,30889,,1033,3.5,,273,354,406,,30.3,1020.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041316,Noble Park North,7928,7936,,8,0.1,,75,-160,93,,3.8,2112.1,
2,Victoria,2GMEL,Greater Melbourne,212,Melbourne - South East,21204,Dandenong,212041317,Springvale,23642,23915,,273,1.2,,171,-712,814,,11.1,2153.5,
